feature,importance
categorical__failure_reason_INSUFFICIENT_FUNDS,0.2832047858327461
numeric__retry_count,0.20985779914064856
categorical__risk_level_LOW,0.17514121315855097
categorical__risk_level_HIGH,0.0819980228484155
numeric__retry_pressure,0.06194295362995389
numeric__high_amount,0.029587404886100725
numeric__amount,0.029483922181725918
categorical__risk_level_MEDIUM,0.027419270879560705
categorical__risk_level_CRITICAL,0.025998388229692013
categorical__failure_reason_CARD_EXPIRED,0.011876376353391128
categorical__failure_reason_NETWORK_ERROR,0.011382116769786801
categorical__failure_reason_BANK_DECLINE,0.011090109091296204
categorical__failure_reason_AUTHENTICATION_FAILED,0.010112939638428547
categorical__failure_reason_TIMEOUT,0.009826611171640656
categorical__failure_reason_USER_ABANDONED,0.009548048596543561
numeric__failed_payments,0.003641180625128614
numeric__total_transactions,0.0012396800174948044
numeric__failure_history_ratio,0.0009927862381624805
numeric__lifetime_value,0.000971068109961922
numeric__checkout_duration,0.0009142959913394003
numeric__success_history_ratio,0.0007824198958845937
numeric__successful_payments,0.0006382266476086075
numeric__abandonment_history_ratio,0.0006153122002738027
categorical__customer_segment_HIGH_VALUE,0.0004120020017133825
numeric__abandoned_checkouts,0.00026752853768138846
categorical__preferred_method_WALLET,0.0001859526189786889
categorical__preferred_method_CARD,0.00011858825209936261
categorical__customer_segment_REGULAR,0.00011288104529742077
categorical__customer_segment_AT_RISK,9.251484114082693e-05
categorical__payment_method_WALLET,8.857113284966092e-05
categorical__payment_method_NETBANKING,8.009947611110554e-05
categorical__payment_method_CARD,7.629358949269162e-05
categorical__preferred_method_NETBANKING,7.326748575735283e-05
categorical__preferred_method_UPI,6.403110425114318e-05
categorical__payment_method_UPI,6.316992087965902e-05
categorical__customer_segment_NEW,5.956687043105971e-05
numeric__high_value_customer,4.0600988980779694e-05
categorical__currency_INR,0.0
