feature,importance
numeric__lifetime_value,0.10807018640573386
numeric__checkout_duration,0.08704709295209283
numeric__success_history_ratio,0.08379883050188153
numeric__failure_history_ratio,0.07838815916348679
numeric__amount,0.06218151679650499
numeric__abandonment_history_ratio,0.060800692814337164
numeric__successful_payments,0.05318238493164697
numeric__total_transactions,0.05014536904571089
numeric__failed_payments,0.039791232612234946
numeric__retry_count,0.0348981680064988
numeric__abandoned_checkouts,0.032431463755969614
categorical__failure_reason_NETWORK_ERROR,0.025155699096065843
categorical__failure_reason_CARD_EXPIRED,0.023471715327485456
numeric__preferred_payment_match,0.020463698682514242
categorical__customer_segment_HIGH_VALUE,0.018657677534438068
numeric__retry_pressure,0.016886802359975164
categorical__failure_reason_AUTHENTICATION_FAILED,0.014080405421505173
categorical__payment_method_WALLET,0.013031168576859077
categorical__status_ABANDONED,0.012209599449651531
categorical__preferred_method_WALLET,0.012106577174075811
categorical__status_FAILED,0.012102342481836899
numeric__high_value_customer,0.012051683011782442
numeric__high_amount,0.011898549639998408
categorical__preferred_method_UPI,0.011416720657976649
categorical__failure_reason_TIMEOUT,0.011257013360457207
categorical__payment_method_CARD,0.010741172207498022
categorical__failure_reason_INSUFFICIENT_FUNDS,0.010257659764070119
categorical__payment_method_NETBANKING,0.010238342943557556
categorical__payment_method_UPI,0.01022556001530323
categorical__preferred_method_NETBANKING,0.010110709220026841
categorical__customer_segment_AT_RISK,0.009226711986911582
categorical__preferred_method_CARD,0.00863234664038986
categorical__failure_reason_BANK_DECLINE,0.007036120548629958
categorical__failure_reason_USER_ABANDONED,0.006872050439058256
categorical__customer_segment_REGULAR,0.005685142829063695
categorical__customer_segment_NEW,0.005449433644770603
