id,external_id,amount,currency,status,failure_reason,payment_method,retry_count,checkout_duration,abandoned,lifetime_value,total_transactions,successful_payments,failed_payments,abandoned_checkouts,preferred_method,customer_segment,failure_history_ratio,success_history_ratio,abandonment_history_ratio,high_value_customer,high_amount,retry_pressure,simulated_recovery_probability,recovered,baseline_recovered,ai_strategy,strategy_multiplier,ai_recovery_probability,ai_recovered,baseline_recovered_amount,ai_recovered_amount,baseline_expected_recovery,ai_expected_recovery
cmtnymcb500rz3c6vmxkn79im,TXN-00000007,7999.0,INR,ABANDONED,NETWORK_ERROR,NETBANKING,3,567,True,14252.0,5,4,1,1,WALLET,HIGH_VALUE,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,1,1,0.4749999999999999,1,0,RETRY_PAYMENT,0.9,0.42749999999999994,0,0.0,0.0,2735.6579999999994,3419.5724999999993
cmtnymcez00s03c6vzlv46l05,TXN-00000008,499.0,INR,FAILED,CARD_EXPIRED,CARD,3,598,False,45162.0,26,18,8,2,CARD,REGULAR,0.2962962962962963,0.6666666666666666,0.07407407407407407,0,0,1,0.3248148148148147,0,0,SEND_EMAIL,0.82,0.26634814814814806,0,0.0,0.0,116.69946666666662,132.9077259259259
cmtnymcsm00s33c6vhss6dcny,TXN-00000011,1999.0,INR,FAILED,CARD_EXPIRED,NETBANKING,1,316,False,16194.0,17,6,11,5,NETBANKING,AT_RISK,0.6111111111111112,0.3333333333333333,0.2777777777777778,0,0,0,0.25388888888888883,0,0,SEND_EMAIL,0.82,0.20818888888888884,0,0.0,0.0,365.4171999999999,416.16958888888877
cmtnymd1a00s53c6vyq3vrnox,TXN-00000013,7999.0,INR,FAILED,CARD_EXPIRED,NETBANKING,3,395,False,46074.0,20,14,6,4,UPI,REGULAR,0.2857142857142857,0.6666666666666666,0.19047619047619047,0,1,1,0.2147619047619047,0,1,SEND_EMAIL,0.82,0.17610476190476185,0,7999.0,0.0,1236.8739428571425,1408.66199047619
cmtnymdft00s83c6vijyu4rna,TXN-00000016,499.0,INR,ABANDONED,TIMEOUT,UPI,1,183,True,11700.0,7,6,1,0,NETBANKING,HIGH_VALUE,0.125,0.75,0.0,0,0,0,0.6487499999999999,1,0,RETRY_PAYMENT,0.9,0.5838749999999999,1,0.0,499.0,233.08289999999997,291.35362499999997
cmtnymdtm00sb3c6vg8vxokym,TXN-00000019,799.0,INR,FAILED,BANK_DECLINE,CARD,0,415,False,102357.0,30,27,3,4,UPI,HIGH_VALUE,0.0967741935483871,0.8709677419354839,0.12903225806451613,1,0,0,0.6603225806451613,1,0,RETRY_PAYMENT,0.9,0.5942903225806452,0,0.0,0.0,379.87037419354834,474.8379677419355
cmtnyme2q00sd3c6v671k2lji,TXN-00000021,4999.0,INR,FAILED,USER_ABANDONED,WALLET,0,311,False,15176.0,8,7,1,3,UPI,HIGH_VALUE,0.1111111111111111,0.7777777777777778,0.3333333333333333,0,0,0,0.5344444444444444,1,0,RETRY_PAYMENT,0.9,0.481,0,0.0,0.0,1923.6151999999995,2404.519
cmtnyme7s00se3c6vx5xcenty,TXN-00000022,1999.0,INR,FAILED,USER_ABANDONED,UPI,0,561,False,13095.0,15,9,6,2,WALLET,NEW,0.375,0.5625,0.125,0,0,0,0.4618749999999999,0,0,RETRY_PAYMENT,0.9,0.41568749999999993,1,0.0,1999.0,664.7674499999999,830.9593124999999
cmtnymeli00sh3c6vx1z2d259,TXN-00000025,24999.0,INR,ABANDONED,NETWORK_ERROR,CARD,2,411,True,23860.0,13,5,8,5,UPI,AT_RISK,0.5714285714285714,0.35714285714285715,0.35714285714285715,0,1,1,0.3578571428571429,0,0,RETRY_PAYMENT,0.9,0.3220714285714286,0,0.0,0.0,6441.170914285714,8051.463642857144
cmtnymeuh00sj3c6vno46meqa,TXN-00000027,3499.0,INR,FAILED,INSUFFICIENT_FUNDS,NETBANKING,1,252,False,12992.0,28,16,12,4,CARD,NEW,0.41379310344827586,0.5517241379310345,0.13793103448275862,0,0,0,0.33206896551724135,0,0,PAYMENT_LINK,1.12,0.37191724137931037,1,0.0,3499.0,836.5747034482757,1301.338427586207
cmtnymezu00sk3c6vy2pektpu,TXN-00000028,499.0,INR,FAILED,TIMEOUT,WALLET,2,274,False,13844.0,6,4,2,0,CARD,REGULAR,0.2857142857142857,0.5714285714285714,0.0,0,0,1,0.48999999999999994,1,1,RETRY_PAYMENT,0.9,0.44099999999999995,0,499.0,0.0,176.04719999999998,220.05899999999997
cmtnymf8n00sm3c6vhveu13bw,TXN-00000030,2499.0,INR,ABANDONED,USER_ABANDONED,CARD,2,260,True,10851.0,4,3,1,0,UPI,HIGH_VALUE,0.2,0.6,0.0,0,0,1,0.4799999999999999,0,0,SEND_WHATSAPP,1.05,0.5039999999999999,1,0.0,2499.0,863.6543999999998,1259.4959999999996
cmtnymg2j00sq3c6vyjoznkxa,TXN-00000034,999.0,INR,FAILED,BANK_DECLINE,UPI,0,320,False,28382.0,26,23,3,2,CARD,HIGH_VALUE,0.1111111111111111,0.8518518518518519,0.07407407407407407,0,0,0,0.5788888888888888,0,0,RETRY_PAYMENT,0.9,0.5209999999999999,1,0.0,999.0,416.3831999999999,520.4789999999999
